clean,label
nge ganggu bnget crome aplikasi jelek tutup aja banyak tipu sering nyedot saldo dana atu bri baik jangan dowload,0
sangat bantu perlu rumah tangga perabot perlu bayi sampai dewasa semua sesuai terima kasih shopee,1
neng belanja sini tapi sangat sayang kan ketika beli makan shopefood harus pihak shope jangan bikin double double order jadi bikin nunggu lama,0
baik tuh sistem top jngn korup,0
malas retus kenapa sekarang layan jelek jelek,0
sangat puas layan shopee,1
mantap sangat bantu sekali,0
lemari bagus gampang pasang kirim jauh sanger gak rusak padahal dos uda buka,0
oke,1
tempat belanja tanpa ribet,0
banyak diskon mantp,1
kasih bintang agar muncul atas tolong yaa aplikasi bagus bngt banyak diskon tapi satu masalah kirim tolong gudang sortir bandung alias bandung kopo tolong baik banyak paket halang sana masuk paket hari kopo,0
keren,1
shopee payleter susah bner percaya orang saran lain supaya kredit baik,0
sangat bantu belanja perlu rumah tangga dll,1
terimakasih,1
amanah jamin,1
shopee belanja apa aja mudah sangat bantu butuh kita terus kembang sukses,1
aplikasi lot sekali,0
udah langgan shopeevip ongkir tetep aja mahal kecewa sih mending gausah langgan deh,1
semenjak pindah shopee indonesia sangat puass baget amanah,1
apa pas mau liat pesan lag banget padahal buka lain dasar aplikasi aneh,0
good,1
cepat tepat,1
pihak kurir kirim barang tolong lain kali jgn terlalu lama kurir biasa gak hubung whatsapp customer terus enak kurir retur barang alas lokasi beli temu padahal dri kurir hubung kontak,0
puas belanja shopee harga sahabat,1
terang lampu model bagus,1
sesuai pruduk tipu tipu,0
makin jelek aja nih shopee masa pesan sata batalin semua udh serublanja shopee,0
sangat puas belanja online semua lancar amanah terimakasih semua,1
tiap buka shopee langsung masuk shopee live sangat ganggu banget sih bayangin aja kita buka tempat rame atau ingin buka cara diam saja malah kedengeran suara shopee live sumpah ganggu harus ikan luas pada guna apakah ingin cari produk lewat shopee live atau scroll cari apk cara mandiri jujur nyamandengan scroll atau lewat search product apa ingin,1
semua bagus mulai apk sampe jasa ekspedisi hanya ulah satu oknum kurir spx bikin nama baik hancur tolong evaluasi kurir spx area pare diri jawatimur suka chat pagi bahkan sampai maghrib pesan bom nyampe gak sekali dua kali tapi kali kali hari mei bahkan batal pesan bikin dokumentasi bukti kirim bukan foto rumah tapi foto rumah nglain masih tgl mei,1
sangat puas banget belanja shopee belanja mudah praktis sita waktu,1
lama baik baik saja,0
dulu cuma hari sampai lokasi sekarang hari baru sampai diskon doang gede tapi kalah cepat sama tokopedia urus kurir,1
puas beli dishopeee love sukses trus,1
sangat puas shopee,1
muas selalu amanah,1
good fast respon transaksi kuota pulsa lanjay,1
beberapa kali pesan paket pernah sampai kemudian suruh batalin kocak shopenya,0
selalu sesuai pes,1
terimakasih shopee mudah belanja perlu keluar rumah sangat senang belanja online berkat aplikasi shopee belanja gak ribet asyik,1
batal pesan saat salah lokasi,0
kurir amanah,1
bagus banyak diskon,1
maaf shopee kadang kadang kirim salah tolong jangan sampai salahya biar suka tapi mbya kurang,0
belanja shopee murah kualitas bagus,1
sangat buruk apk shopee sekarang pesan paket hari sampai toko tanggerang tuju paket lampung padahal estimasi cuma hari dalam proses antar saja gagal hari antar tau sampai atau hari jadi seperti bukan hanya sekali tapi sering masih mending apk totok karna profesional,0
samakin bagus tapi tolong waktu antar paket tera nama kurir waktu antar biar kita tau siapa antar paket kita siapa bawa paket kita,1
sampai sekarang masih setia belanja guna shopee diskon tiap bulan pasti banyak,1
terlalu banyak jual tipu tolong shoppe cek lagi jual kirim sangat lambat sampai barang rusak jalan lapor nda solusi,0
bantu banget shoope belanja mudah sistem return praktis mohon terus tingkat kan lagi layan,1
cod cek dulu buat kurir spx lama memang bagus cek dulu mudah beli barang sesuai atau rusa jalan tapi masuk resiko belanja online harus tanggung oleh beli biar saja beli sendiri kembali barang pesan sesuai bukan tambah jam kerja kurir buat kirim lama guna shopee shopee cepat kirim baik daripada mudah kembali,0
oke baik,1
good job,1
iklan tuh ganggu anjing udah syukur download simpen tapi tiap iklan muncul langsung arahin apk mana ulang lagi hapus pengin tenang gak ganggu iklan cuih,0
puas pakai shopee,1
aplikasi shopee sekarang berat lot banget padahal udah update versi baru gak kayak dulu lancar sekarang banyak kendala mau buka aplikasi suka lamaaa kadang ngeblang putih doang mau muat halaman sama lama terkadang keluar sendiri aplikasi tolong pihak kait baik lagi aplikasi udah coba beberapa cara tetap aja kayak gitu,0
sejak dulu langgan vip beberapa bulan shopee sebal olah beri kompensasi tak guna puluh ribu perak kemudian anggap enteng lambat kurir kita gak butuh duit kompensasi,1
shopee pinjam lama banget approvalnya padahal masuk orang selalu bayar tepat waktu mending pindah belah aja apk ijo,0
lama guna shopee segala mudah gampang barang cari selalu murah banyak ragam lama shopee selalu jaga agar konsumen ragu atau bimbang hadap layan beli produk beri kepada konsumen serta selalu jamin nyaman transaksi mantap pokok trima kasih shopee,0
bantu sekali,0
responsif good costumer service pokok tingkat terus layan min,1
harga murah kirim cepat barang toko seller sesuai banyak promo vuchernya makas shopee lite,1
udah rasa semenjak spx paket pending lama kalo pihak ekspedisi masih belum cover balik aja kayak dulu mau ambil drop point gak,0
apk lama macam apk tiktok tiap buka apk shope langsung sambut video drakor sungguh jengkel orang mau cari barang malah suruh nonton drakor,0
tim shopee skrang kerja pada buruk masalah blm selesai lgaung ttup chat tutup lapor jwban template aja tnya apa jwbnya apa kyknya pada males bnget utk mmbantu masalah kami smpe kasus lapor aja bgitu jwab dgan jwaban template lgsung main ttup lapor gitu aja dgan tanda masalah selesai ampun dah shopee shopee bngung utl cri solusi sdang kan chat lgsung tim aja kyk gitu,0
kak kenapa udah ngikutin standar shopee msh hapus yaaa bijaksana masuk akal sii standar shopee udah msh hapus aneh kayak toko ijo tok tok bnyk atur lama shope tinggal sama bnyk orang,0
berak,0
kirim lambat lambat batal kan pihak tanpa alas tentu kecewa,0
kenapa susah banget sih lagi chat sama kurir selalu loading muter ujung pesan kirim padahal koneksi kenceng chat sama jual aman aja gilir chat sama kurir loading terus ujung pesan kirim langsung lama bukan baru padahal apk update clear chace,1
rating buruk dulu smpe akun balik pesan dimunculin status apa kalo minimal saldo ribu dibalikin skrg gda respon biasa paling cpet jam bales jam gables bales,0
pokok puas,1
kyk udh bener unisntal aja ganti hitam cepat pihak shopee payah baik,0
sangat puas layan mas kurir baik baik sopan moga shopee makin jaya,1
shopee cukup informasi kualitas,1
demi image shopee mohon bagi jual amanah blokir saja atau ketat bagi daftar akan jual barang shopee harus jelas amanah sering kecewa belanja shopee begitu barang sampai sesuai deskripsi terimakasih,0
tolong buat perintah perhati lagi shope sungguh banyak rugi masyarakat indonesia apalagi dagang sering main beli minta dana refund mana uang dagang tahan mending dagang banyak modal baru jual gimana nasih makan anak istri uang tahan perlu perhati dapat toko merchant proporsional buat kantor wakil tiap daerah agar layan komplain baik,1
bagai aplikasi olshop bagus cuma iklan shopee sangat ganggu tiap aplikasi lain selalu otomatis masuk sistem lacaknnya acak acak,0
tolol,0
shopee food sekarang banyak kali biaya luar biaya kirim nak luar biaya ongkir masak biaya emas harus beli makan udh itungan sama biaya emas tambah lagi biaya lain padahal nanti biaya nyampe seller harga tera pasti mahal harga seller beban lagi biaya lain mending shopee baik diri lah udh banyak orang komplain masalah biaya jangan nanti orang ninggalin shopee,0
kenapa belakang paket lama sekali datang padahal etimasi hari tapi minggu belum datang udh sekian kali padahal waktu kita harga,0
paket hari belum sampai kirim bolak balik ngga jelas padahal alamat nama nomor dah sangat jelas lambaaaaaat,0
lumayan sih belanja sini hadiah kecil bangeettt kurang banyak,0
apa sekrang shopee dulu paket telat sampe dapet voc potong min belanja sekrang min bel masuk akallllllllll,0
lumayan lengkap harga jangkau,1
pesennnnn kenapa pesan batal truss pdhl udh jelas estimasi tiba udh tera oke deh klo telat smpe minggu udh gtu maen batal aja lagi deh pake shope lgi,0
shopee sekarang lama banget kirim gak kayak dlu apalagi semenjak gak mitra lagi sama ekspedisi lain udah kayak enak jidat ngirim paket orang,0
shopee konsisten free ongkir excellent,1
waspada belum langgan vip meski bayar promonya tetap sistem rebut vouchernya banyak eror pribadi rugi voucher mcflurry hilang sistem tanpa bukti sampai sekarang voucher point coffee mcd ice cone pun masih belum guna pikir pikir lagi belum langgan,0
soal voucher shopee enak banget banyak voucher gratis ongkir tapi aplikasi agak lambat berat harus sinyal kencang banget,1
aplikasi bantu buat orang males keluar,0
tempat belanja paling murah,0
bintang lima biar bacaa aga heran sihh sama akun shoppe nyaa kenapa bayar cod harus lewat teruss kan susah kalo mau chekout barang,0
sangat bantu dalam ada normal,1
bagus sbnrnya cmn skrg suka kesel grgr shopee foodnya lama bgt nyari drivernya lama pernah sampe jam lupa batalin sampe dapet driver jam kadang suka eror sen makan resto jarak malah ubah suka bingung poko mes driver doang lama bgt tolong knp lama,0
oke bgt top sukses selalu shopee,1
makin kesini makin gak jelas saat cek harga harga awal saat cek out ubah ubah kadang kadang each kita bagai beli bingung mau cek out payah payah gak recomended mainin harga,1
usah sok manis krn asli ibl klen buat atur makin cekek pemgembalian produk pot iklan produk bahkan skrg lbh klen cekek hny krn lihat isi habis utk iklam sampe mnt habis mau keln iklan sehr brp pasti omset klen pikir semua main besar ecom bkn krn klik bkn ringan krn beli bukan dukung umkn lahan sumpahin klen buat atur kelak kelen akan susah sulit hidup lalu cekek zolim tdk nurani,1
tolong buat shopee uang belum kembali dalam proses terus kata nunggu jam tapi udah lebih estimasi bilang tinggal tunggu aja gak terang lain tanyain lagi lain suruh ngisi form kenapa gak kemarin coba suruh ngisi kalo gin nunggu lama lagi,0
aplikasi tipu,0
sering pindah aplikasi shopee sendiri sangat ganggu,0
bintang dulu msh banyak toko kurang amanah lain pesan lain kirim klo shopee lbih selektif lagi,0
selalu puas belanja shopee alhamdulillah barang sen selalu sesuai,1
moga baca,1
shoppe knapa paket gak sampe dah lebih estimasi gak gerak sama sekali gimana,0
bagus nih aplikasi gua beli baju real madrid kualitas bagus banget udah gitu kirim gak estimasi,1
pihak shopee sanat lot tangan masalah pesan barang lapak sini resi pick barang tapi barang serah jasa kurir chat jual respon aju batal harus nunggu waktu lama sampai jual merespon padahal jual merespon chat sangat kecewa shopee bantu mau cari barang toko lain kendala harus tunggu tuju batal belum lagi masalah lain,0
kenapa spyliter ngga pake,0
selalu puas belanja shopee kirim selalu cepat harga selalu jangkau,1
kenapa batas cod jdi mesan barang lagi,0
bagus banget sangat bantu sekali mudah belanja rumah tanpa ribet keluar rumah belum lagi panas polusi harus antre lagi cukup rebah buka aplikasi shopee tinggal pilih scrooll pokok aplikasi ter the best makasih sukses selalu,0
online mall baik aqohhh sementara buat komentar aplikasi lot bikin lot heyyy hellow update makanya aplikasi tiap tanggal kembar pay day pasti update promo baru voucher baru aplikasi gak cuman stay tapi update simpel trus gadget kalian update cek sistem update atur kalian jangan nyalahin aplikasi kalo kalian lot cek update kala atau nyala otomatis update jaring apa,0
belanja sangar aman nyaman,1
shopee teman dalam bisnis ada aplikasi shopee cara online beri mudah dalam laku transaksi hari hari dalam butuh pribadi bisnis terima kasih shopee moga depan lbh tambah maju sukses selalu,1
sangat puasa,0
nice fast,1
kasih bintang tolong baik moga bukan guna vip aja bagus layan banyak vidio produk pakek lihat asli barangny bagus atau sesuai tambah notif kirim lambat terima kasih,1
nggak kasih fitur nomer kirim barang supaya ngasih tau misal lagi rumah naroh uang mana gitu,0
aplikasi belanja lindung jual nakal beli kaos datengnya kardus ama sendal jepit stts kirim masih jasa kirim tapi barang dateng return akhir,0
biar baca telat notif tangal jga,0
kirim lama banget udah hampir hari gak kirim kirim paket tunda sama kurir memang kendala apa sampek tunda kirim ganti aja ekspedisi lama banget spx gajelass udah chat shoope tapi tetep suruh tunggu sampek estimasi tentu udah loh tunda paket ekspedisi gak jelasss,0
sementara dulu masih kurang,0
baru pertama pke quris sopeepay cepet itungan detik luar biasa jos gendos,1
baru kali beli barang kirim lama apa jarak sangat jauh,0
apa kirim shopee nih masa barang puter udah mau sampai malah balik sortir lagi kan lucu chat dapat layan gimana mohon bantu,0
iklan sangat resah,0
makin sih jelek banget dikit langgar padahal macem,0
promo mantap banyak seru,1
cod barang rusak ijek lsg cod blokir,0
optimalisasi aplikasi masih buruk nyari barang keluar malah phone ntah kenapa default selalu phone mohon optimal lagi aplikasi sering belanja sini,0
cepat tepat akurat,1
kirim extra lelet mulai kirim toko sampai kirim kurir rumah jadi kali kali cepat beli toktik daripada sopi sekarang mah sopi lama daripada toktik guna tahun sekarang pindah toktik,1
kemarin sen barang mau return tapi susah proses jadi nggak return barang gletak aja rumah sekarang alih apk,1
shoppe memang mantap dech apa pun mau beli smua cara aju ribet pokok the best suka guna aplikasi moga tambah sukses dech tuk shopee,0
gasii tau tempat kalo narok iklan uji gue telat ngumpulll,0
jgn sekali pakek espedisi spx shope lot parah nggak paket aja awal estimasi hari hari badahal kota besar bukan desa mending pakek espedisi lain,0
mau cari apa aplikasi mudah guna bagi mula,0
aplikasi sangat manfaat cari barang butuh tanpa harus pergi toko langsung layan foodnya sangat batu ketika malam ingin makan namun kendara shopeefood solusi terimakasih sukses selalu shopee,1
apk kagak guna tiap mau instal chrome selalu muncul harahin apk gua kagak mau beli mohon jangan paksa masuk apknya,0
terus tingkat layannan baik,1
heran barang sdh bayar pas kembali dana susah skali masa alas jelas,1
kenapa kok skrg kalo kirim barang besar tambah bea ukur khusus pdhal ekspedisi milih kargo plis nama aja kargo pasti barang kirim gede masa atas udah bea ukur khusus kalo pake reguler tuh baru make sense bea ukur khusus tapi kargo kargo kirim alamat tuh pake mobil gila bgt ambil untung,1
bagi kirim kalo barang udah sampe masa pilih aju kembali sama lacak atur aju kembali sama nilai orang klamaan nilai,0
skrang lot bner kirim shopee minggu trus bru dateng sedikit masuk klo cari tendr jasa kirim agak bagus dikit,0
senang sekali pakai aplikasi belanja murah,0
afiliator komisi berapa maaukin data pajak aja sulit harus npwp padan npwp aja napa sih gausah aneh aneh banyak,0
kenapa tiap top nama kirim lama kadang hari hari gak instan,1
spx instant rasa reguler pesan belum pickup udah hari reguler gratis ongkir spx instant bayar bukan auto ganti ekspedisi malah masih spx instant terus sampai kapan mau pickup barang mau pakai urgent kapok maka spx instant tau gitu maka reguler saja,0
kecewa kali barang pesan saja translate saja suruh nunggu kali udah malas ngak bakal barang ambil baik pakai jasa kirim lain,0
update baru order langsung nilai belum masa tenggang habis,1
iklan tik tok suka ngeselin,0
tolol shoope guna paket lama dtng layan guna udh lapor tpi msih ubah,1
respon cpat suka,1
aplikasi bgs,0
solusi belanja online,1
minggu saldo gak tarik verif gagalin trus sama sistem hubung gak menyelsaikan cuma nyuruh gek jelas kalo dar saran upload kita tau masalah sesuai masih tolak npwp kenapa format baru,0
sangat baik mudah walaupun mula seperti,0
jelek banget kirim lama banget udah tanya tanya jawab sama shopee jangan dong download,0
kirim masalah lama sekali trus tiba tiba kembali jual gara gara gak kirim lewat estimasi stuck lama hari seperti paket hilang,0
atur komunitas shopee terlalu kejam aju banding laku,0
barang jangan beli,0
apk bagus mudah guna transaksi mudah trimakasih sopee,1
shopee curang kata estimasi datang tgl sampai sekarang tgl nyampe malah ubah estimasi tgl sampe dapet barang kompensasi sangat amanah,1
kirim lama banget udah mana keburu dipakee salah ruteee hadehhhhh,0
coba tolong shope kirim cepat udah platinum udah member vip gak pernah prioritasin belanja shope udah puluh juta tapi kirim lama banget,1
utk team shopee tlg cek sejak naik versi srg ngeleg hal sinyal wifi normal sinyal data bagus saat buka aplikasi susah banget,1
aplikasi luar biasa,0
respon cepat,1
shopeenya udah bagus turut tapi kirim spx amat sangat kecewa jauh kata professional order barang udah beberapa kali notif beli dapat hubung tempat padahal aja nggak rumah terus nunggu tuh paket harus seleksi lagi kurir males nganter seperti dulu antar pake selain spx selalu sampai tepat waktu malah belum estimasi udah sampe telah pake spx telat beberapa hari amat sangat kecewa,0
beli barang shopee selalu sesuai ekspektasi terima kasih shopee kalian baik,1
benerin qris app ampas,0
baru saja coba belanja shopee masya allah sangat puas hasil,1
mantap jiwa,1
mohon bantu pihak kait transfer akun shopee milik pribadi kok belum masuk masuk nominal hampir juta pdhal rekening potong saldo adu tdk lanjut hari,0
suka banget belanja online sini serba mudah,1
pusat belanja line lengkap,1
benci sering iklan digame normal,1
rasa makin sini olshop makin sulit buyer beli sesuatu antara banyak item kunci hrs verifikasi umur ketika mau beli hrs verifikasi umur lalu shopee pay banyak sdh tdk cod sdh beberapa kali order batal krn jual proses pesan sangat lambat tolong jgn sulit beli beli sesuatu ingat pepatah beli adalah raja tolong hormat beli walaupun sekira hny beli nominal tdk berapa,0
spinjam tak kunjung cair lunas tahun,0
mantap gratiss ongkir keren voucer gilaaaaaa banget,1
benar manfaat tapi makin kesini aplikasi makin sulit akses lelet tak jalan malah keluar notifikasi telah lewat minggu lalu direview aplikasi apa sih kok makin semrawut,0
shopee sangat guna,1
good mantap,1
barang sesuai pesan,1
makin bagus tapi seller abal abal tolong blacklist hapus saja terima kasih banyak shoope kurir kirim baik hati,0
aplikasi bagus buat shopping tapi iklan tiktok ama apk lain ngotak ana kasih bintang aja,0
benci bgt sama iklan shopee pencet apa selalu aplikasi ganggu tau,0
shopee mesih perluh laku tingkat manajemen krna kadang barang tdk sesuai dgn pesan,1
aplikasi shopee belanja mudah mantap lah pokok,0
kak gimana sih kata nyampe barang tanggal tapi sampe sekarang gak nyampe nyampe sen senin udah minggu gak datang datang paket mau dibatalin gak pas udah proses kirim tiba tiba kirim tunda udah kali kali kayak gin sumpah udah minggu gak datang datang paket,0
sering llouding iklan shopie sangat menggangu hpku,1
sering keluar keluar,1
sesuai pesan,1
aplikasi sangat bagus belanja online,0
nomer anda daftar akun padahal sya blom pernah daftar shopee jelas,0
cair limite spinjam sekarang lama proses padahal bayar belum jatuh tempo udh bayar cicil,0
shopee makin rajalela ngambil kendali lagi nonton drama pernah mencet ads atau iklan shopee tiba ngebuka shopee,0
belanja aman,1
mantul banget aplikasi shopee nyaaa bisaa belanja tinggal tungguin rmh gak ribet jugaaa,0
semua butuh beli dishopee,0
senang ada shopee mudah kita belanja walaupun terkadang datang barang pes sesuai tapi kita maklum bukan salah kurir tugas kurir hanya antar barang depan moga depan baik lagi,0
spam iklan kali aplikasi game muncul sendiri tanpa klik ganggu banget ngiklan wajar aja shopee,0
layan shopee saat sangat kecewa paket stuk hari hari gera lanjut tolong depa perhati keluh complain para costumer,1
shope memang sangat senang sekali dapat belanja mudah tanpa ribet,0
seru sekali saja sampai beli kucing,0
jijik tiap kali buka aplikasi lain malah arah shopee mana tiap kali buka langsung video terus aplikasi rese,0
kurang,0
oke,1
lamaaaaaa bgtttt kirim shopeee sekarang kecewa buruqqq,0
cicing teu sia shopee aing teh ker maca teu mncet nanaon tiba langsung shopee jir ganggu nygo teu sih sia teh cicing ngajedog waktuna buak jng cekout cekout ulh ker maca tiba alih shopee pan ganggunv jingan sajam cuma bulak blik jng shopee doang ganggunf ajj ngajedog kan bngke bngt,1
lumayan lah walaupun kurir eek,0
stop muncul anjir lgi baca novel tiba buka apk,1
